Date,sector,sie,seasonal_ref,apac_resid
2019-09-23,East_Antarctica,3.295848306,3.1384641298798366,0.1573841761201633
2019-09-24,East_Antarctica,3.318608811,3.1411398844871052,0.1774689265128946
2019-09-25,East_Antarctica,3.317044903,3.143830643275097,0.17321425972490312
2019-09-26,East_Antarctica,3.324973809,3.1464441694267733,0.17852963957322654
2019-09-27,East_Antarctica,3.323173932,3.1488882261251003,0.17428570587489967
2019-09-28,East_Antarctica,3.312651925,3.1510705765530385,0.16158134844696148
2019-09-29,East_Antarctica,3.317807559,3.152898983893553,0.16490857510644696
2019-09-30,East_Antarctica,3.345995644,3.154281211329606,0.1917144326703939
2019-10-01,East_Antarctica,3.35618798,3.155125022044162,0.20106295795583806
2019-10-02,East_Antarctica,3.322125511,3.1553381792201827,0.1667873317798172
2019-10-03,East_Antarctica,3.320771699,3.1548284460406304,0.1659432529593694
2019-10-04,East_Antarctica,3.347747641,3.153503585688473,0.19424405531152722
2019-10-05,East_Antarctica,3.336493352,3.1512713891074586,0.18522196289254156
2019-10-06,East_Antarctica,3.348835023,3.1480732275142933,0.2007617954857066
2019-10-07,East_Antarctica,3.326930397,3.1439492501539306,0.18298114684606936
2019-10-08,East_Antarctica,3.323142477,3.138957677516806,0.184184799483194
2019-10-09,East_Antarctica,3.290545162,3.133156730093358,0.1573884319066421
2019-10-10,East_Antarctica,3.260873688,3.1266046283740176,0.13426905962598257
2019-10-11,East_Antarctica,3.216899218,3.1193595928492215,0.09753962515077852
2019-10-12,East_Antarctica,3.21719662,3.11147984400941,0.10571677599059015
2019-10-13,East_Antarctica,3.185919587,3.103023602345015,0.08289598465498482
2019-10-14,East_Antarctica,3.172644431,3.094049088346472,0.07859534265352819
2019-10-15,East_Antarctica,3.188655705,3.084614522504218,0.10404118249578209
2019-10-16,East_Antarctica,3.215167996,3.0747781253086846,0.14038987069131537
2019-10-17,East_Antarctica,3.166905777,3.064598117250315,0.10230765974968525
2019-10-18,East_Antarctica,3.122306624,3.0541294189750814,0.06817720502491875
2019-10-19,East_Antarctica,3.061065804,3.0433568634104518,0.017708940589548305
2019-10-20,East_Antarctica,3.034256914,3.0321982785533987,0.0020586354466014534
2019-10-21,East_Antarctica,3.001424972,3.0205688095051313,-0.019143837505131156
2019-10-22,East_Antarctica,2.991294362,3.008383601366866,-0.017089239366865794
2019-10-23,East_Antarctica,2.990877827,2.9955577992398084,-0.004679972239808539
2019-10-24,East_Antarctica,2.947800562,2.9820065482251747,-0.0342059862251749
2019-10-25,East_Antarctica,2.923831169,2.967644993424176,-0.04381382442417614
2019-10-26,East_Antarctica,2.897599602,2.9523882799380226,-0.054788677938022445
2019-10-27,East_Antarctica,2.901076823,2.936151552867928,-0.035074729867928145
2019-10-28,East_Antarctica,2.917332456,2.9188499573151043,-0.0015175013151043082
2019-10-29,East_Antarctica,2.929518274,2.9003986383807625,0.02911963561923736
2019-10-30,East_Antarctica,2.923789612,2.880712741166115,0.04307687083388512
2019-10-31,East_Antarctica,2.871008715,2.8597198214197497,0.011288893580250203
2019-11-01,East_Antarctica,2.757374484,2.8374085227915096,-0.0800340387915095
2019-11-02,East_Antarctica,2.689202128,2.8137862527606936,-0.1245841247606938
2019-11-03,East_Antarctica,2.594799613,2.788860423850817,-0.1940608108508166
2019-11-04,East_Antarctica,2.482876277,2.762638448585389,-0.2797621715853893
2019-11-05,East_Antarctica,2.35894028,2.735127739487921,-0.37618745948792087
2019-11-06,East_Antarctica,2.300664091,2.7063357090819284,-0.40567161808192864
2019-11-07,East_Antarctica,2.271354441,2.6762697698909186,-0.4049153288909184
2019-11-08,East_Antarctica,2.215419462,2.6449373344384064,-0.42951787243840656
2019-11-09,East_Antarctica,2.132876707,2.612345815247903,-0.479469108247903
2019-11-10,East_Antarctica,2.080571157,2.578502624842918,-0.4979314678429181
2019-11-11,East_Antarctica,2.033387747,2.5434151757469663,-0.5100274287469664
2019-11-12,East_Antarctica,1.966191904,2.5070917880482635,-0.5408998840482635
2019-11-13,East_Antarctica,1.935805933,2.4695909874070674,-0.5337850544070675
2019-11-14,East_Antarctica,1.897202755,2.431046768934429,-0.5338440139344289
2019-11-15,East_Antarctica,1.855590518,2.3915993527277206,-0.5360088347277205
