year,subseason,ice_persist,sector
2012,early,26,King_Haakon
2012,late,NA,King_Haakon
2012,mid,NA,King_Haakon
2013,early,NA,King_Haakon
2013,late,NA,King_Haakon
2013,mid,NA,King_Haakon
2014,early,9,King_Haakon
2014,late,4,King_Haakon
2014,mid,7,King_Haakon
2015,early,30,King_Haakon
2015,late,NA,King_Haakon
2015,mid,11.571428571428571,King_Haakon
2016,early,NA,King_Haakon
2016,late,NA,King_Haakon
2016,mid,NA,King_Haakon
2017,early,5,King_Haakon
2017,late,NA,King_Haakon
2017,mid,NA,King_Haakon
2018,early,21,King_Haakon
2018,late,18,King_Haakon
2018,mid,7.5,King_Haakon
2019,early,NA,King_Haakon
2019,late,NA,King_Haakon
2019,mid,NA,King_Haakon
2020,early,1,King_Haakon
2020,late,2,King_Haakon
2020,mid,8,King_Haakon
2021,early,9,King_Haakon
2021,late,8,King_Haakon
2021,mid,NA,King_Haakon
2022,early,7.588235294117647,King_Haakon
2022,late,NA,King_Haakon
2022,mid,26,King_Haakon
2023,early,30,King_Haakon
2023,late,5,King_Haakon
2023,mid,12.058823529411764,King_Haakon
2024,early,NA,King_Haakon
2024,late,NA,King_Haakon
2024,mid,NA,King_Haakon
1979,early,NA,Ross
1979,late,1,Ross
1979,mid,NA,Ross
1980,early,6,Ross
1980,late,NA,Ross
1980,mid,NA,Ross
1981,early,7.222222222222222,Ross
1981,late,NA,Ross
1981,mid,1,Ross
1982,early,NA,Ross
1982,late,1,Ross
1982,mid,NA,Ross
1983,early,8,Ross
1983,late,NA,Ross
1983,mid,1,Ross
1984,early,10,Ross
1984,late,NA,Ross
1984,mid,1,Ross
1985,early,2.6,Ross
1985,late,1,Ross
1985,mid,1,Ross
1986,early,1.6666666666666667,Ross
1986,late,NA,Ross
1986,mid,1,Ross
1987,early,15,Ross
1987,late,28,Ross
1987,mid,16,Ross
1988,early,3,Ross
1988,late,1,Ross
1988,mid,NA,Ross
1989,early,8,Ross
1989,late,NA,Ross
1989,mid,NA,Ross
1990,early,NA,Ross
1990,late,NA,Ross
1990,mid,NA,Ross
1991,early,16.391304347826086,Ross
1991,late,7.222222222222222,Ross
1991,mid,31,Ross
1992,early,30,Ross
1992,late,13.133333333333333,Ross
1992,mid,31,Ross
1993,early,NA,Ross
1993,late,25,Ross
1993,mid,2.5,Ross
1994,early,NA,Ross
1994,late,2,Ross
1994,mid,NA,Ross
1995,early,11,Ross
1995,late,NA,Ross
1995,mid,NA,Ross
1996,early,29,Ross
1996,late,15.117647058823529,Ross
1996,mid,6.714285714285714,Ross
1997,early,NA,Ross
1997,late,NA,Ross
1997,mid,NA,Ross
1998,early,6,Ross
1998,late,NA,Ross
1998,mid,NA,Ross
1999,early,7.222222222222222,Ross
1999,late,6,Ross
1999,mid,8.2,Ross
2000,early,7,Ross
2000,late,NA,Ross
2000,mid,NA,Ross
2001,early,NA,Ross
2001,late,4.555555555555555,Ross
2001,mid,4.818181818181818,Ross
2002,early,14.083333333333334,Ross
2002,late,NA,Ross
2002,mid,3,Ross
2003,early,NA,Ross
2003,late,3.5714285714285716,Ross
2003,mid,2,Ross
2004,early,NA,Ross
2004,late,7.461538461538462,Ross
2004,mid,3,Ross
2005,early,30,Ross
2005,late,10.529411764705882,Ross
2005,mid,31,Ross
2006,early,30,Ross
2006,late,4.25,Ross
2006,mid,31,Ross
2007,early,NA,Ross
2007,late,NA,Ross
2007,mid,NA,Ross
2008,early,NA,Ross
2008,late,NA,Ross
2008,mid,NA,Ross
2009,early,2,Ross
2009,late,NA,Ross
2009,mid,NA,Ross
2010,early,30,Ross
2010,late,NA,Ross
2010,mid,14.25,Ross
2011,early,8,Ross
2011,late,5.909090909090909,Ross
2011,mid,1.4,Ross
2012,early,1,Ross
2012,late,NA,Ross
2012,mid,NA,Ross
2013,early,16,Ross
2013,late,NA,Ross
2013,mid,NA,Ross
2014,early,NA,Ross
2014,late,NA,Ross
2014,mid,NA,Ross
2015,early,22.103448275862068,Ross
2015,late,6.6,Ross
2015,mid,18.1,Ross
2016,early,10.157894736842104,Ross
2016,late,2,Ross
2016,mid,NA,Ross
2017,early,NA,Ross
2017,late,1,Ross
2017,mid,NA,Ross
2018,early,30,Ross
2018,late,NA,Ross
2018,mid,8.764705882352942,Ross
2019,early,30,Ross
2019,late,NA,Ross
2019,mid,5,Ross
2020,early,NA,Ross
2020,late,NA,Ross
2020,mid,NA,Ross
2021,early,NA,Ross
2021,late,NA,Ross
2021,mid,1,Ross
2022,early,7,Ross
2022,late,NA,Ross
2022,mid,NA,Ross
2023,early,17,Ross
2023,late,5,Ross
2023,mid,14,Ross
2024,early,NA,Ross
2024,late,NA,Ross
2024,mid,NA,Ross
1979,early,NA,Weddell
1979,late,NA,Weddell
1979,mid,8,Weddell
1980,early,1,Weddell
1980,late,2,Weddell
1980,mid,1,Weddell
1981,early,13,Weddell
1981,late,7,Weddell
1981,mid,7.571428571428571,Weddell
1982,early,2.6,Weddell
1982,late,NA,Weddell
1982,mid,3,Weddell
1983,early,7,Weddell
1983,late,1,Weddell
1983,mid,NA,Weddell
1984,early,NA,Weddell
1984,late,NA,Weddell
1984,mid,2,Weddell
1985,early,15,Weddell
1985,late,NA,Weddell
1985,mid,2,Weddell
1986,early,8.5,Weddell
1986,late,6,Weddell
1986,mid,4.090909090909091,Weddell
1987,early,NA,Weddell
1987,late,4.25,Weddell
1987,mid,4,Weddell
1988,early,NA,Weddell
1988,late,NA,Weddell
1988,mid,1,Weddell
1989,early,3,Weddell
1989,late,4,Weddell
1989,mid,NA,Weddell
1990,early,2,Weddell
1990,late,6,Weddell
1990,mid,NA,Weddell
1991,early,30,Weddell
1991,late,4.846153846153846,Weddell
1991,mid,7.7272727272727275,Weddell
1992,early,3.3333333333333335,Weddell
1992,late,6,Weddell
1992,mid,3.4,Weddell
1993,early,7.142857142857143,Weddell
1993,late,3.888888888888889,Weddell
1993,mid,NA,Weddell
1994,early,NA,Weddell
1994,late,19,Weddell
1994,mid,NA,Weddell
1995,early,9,Weddell
1995,late,10,Weddell
1995,mid,24.076923076923077,Weddell
1996,early,1,Weddell
1996,late,1,Weddell
1996,mid,2.25,Weddell
1997,early,2,Weddell
1997,late,3.8,Weddell
1997,mid,3,Weddell
1998,early,18.75,Weddell
1998,late,10.166666666666666,Weddell
1998,mid,10.8,Weddell
1999,early,3.5714285714285716,Weddell
1999,late,3.3333333333333335,Weddell
1999,mid,NA,Weddell
2000,early,3.4,Weddell
2000,late,2,Weddell
2000,mid,18,Weddell
2001,early,4,Weddell
2001,late,3.3333333333333335,Weddell
2001,mid,NA,Weddell
2002,early,19.785714285714285,Weddell
2002,late,5.909090909090909,Weddell
2002,mid,21,Weddell
2003,early,NA,Weddell
2003,late,15,Weddell
2003,mid,4.333333333333333,Weddell
2004,early,12,Weddell
2004,late,7,Weddell
2004,mid,6.5,Weddell
2005,early,14.130434782608695,Weddell
2005,late,1,Weddell
2005,mid,3,Weddell
2006,early,5.285714285714286,Weddell
2006,late,11.6,Weddell
2006,mid,NA,Weddell
2007,early,NA,Weddell
2007,late,2,Weddell
2007,mid,NA,Weddell
2008,early,8,Weddell
2008,late,4.636363636363637,Weddell
2008,mid,9,Weddell
2009,early,1,Weddell
2009,late,1,Weddell
2009,mid,12,Weddell
2010,early,4.5,Weddell
2010,late,2,Weddell
2010,mid,3.8,Weddell
2011,early,6,Weddell
2011,late,6.2727272727272725,Weddell
2011,mid,13.133333333333333,Weddell
2012,early,3,Weddell
2012,late,1,Weddell
2012,mid,1,Weddell
2013,early,5.4,Weddell
2013,late,11,Weddell
2013,mid,5,Weddell
2014,early,NA,Weddell
2014,late,9.285714285714286,Weddell
2014,mid,2.5,Weddell
2015,early,2,Weddell
2015,late,7,Weddell
2015,mid,NA,Weddell
2016,early,3.3333333333333335,Weddell
2016,late,1,Weddell
2016,mid,1,Weddell
2017,early,30,Weddell
2017,late,7,Weddell
2017,mid,9.181818181818182,Weddell
2018,early,1.6666666666666667,Weddell
2018,late,5.8,Weddell
2018,mid,NA,Weddell
2019,early,NA,Weddell
2019,late,6,Weddell
2019,mid,3,Weddell
2020,early,1,Weddell
2020,late,NA,Weddell
2020,mid,8.333333333333334,Weddell
2021,early,12,Weddell
2021,late,4,Weddell
2021,mid,NA,Weddell
2022,early,NA,Weddell
2022,late,5,Weddell
2022,mid,NA,Weddell
2023,early,15.454545454545455,Weddell
2023,late,6.052631578947368,Weddell
2023,mid,19,Weddell
2024,early,NA,Weddell
2024,late,NA,Weddell
2024,mid,NA,Weddell
1979,early,15,circumpolar
1979,late,5.285714285714286,circumpolar
1979,mid,15,circumpolar
1980,early,15,circumpolar
1980,late,2.5,circumpolar
1980,mid,16,circumpolar
1981,early,8,circumpolar
1981,late,NA,circumpolar
1981,mid,1,circumpolar
1982,early,NA,circumpolar
1982,late,1.6666666666666667,circumpolar
1982,mid,1,circumpolar
1983,early,16,circumpolar
1983,late,11,circumpolar
1983,mid,16,circumpolar
1984,early,4,circumpolar
1984,late,4.142857142857143,circumpolar
1984,mid,7.222222222222222,circumpolar
1985,early,NA,circumpolar
1985,late,5,circumpolar
1985,mid,8,circumpolar
1986,early,1,circumpolar
1986,late,NA,circumpolar
1986,mid,3.4,circumpolar
1987,early,15,circumpolar
1987,late,20.724137931034484,circumpolar
1987,mid,16,circumpolar
1988,early,12,circumpolar
1988,late,2,circumpolar
1988,mid,2,circumpolar
1989,early,18.379310344827587,circumpolar
1989,late,3,circumpolar
1989,mid,2,circumpolar
1990,early,NA,circumpolar
1990,late,1,circumpolar
1990,mid,NA,circumpolar
1991,early,NA,circumpolar
1991,late,NA,circumpolar
1991,mid,13.133333333333333,circumpolar
