year,wind_persist,ice_persist,sector,phase_doy,amplitude,phase_anom,amplitude_anom
1981,1.588235294117647,11.093023255813954,East_Antarctica,275,2.7055642491843335,-1.347826086956502,0.10771480684973822
1982,1.2857142857142858,5.75,East_Antarctica,274,3.1796350643485485,-2.347826086956502,0.5817856220139532
1983,1.8571428571428572,2.111111111111111,East_Antarctica,275,3.075887031820298,-1.347826086956502,0.47803758948570296
1984,2.4,7.7368421052631575,East_Antarctica,276,2.764768909526328,-0.34782608695650197,0.1669194671917329
1985,1.2857142857142858,3,East_Antarctica,274,2.719593757909521,-2.347826086956502,0.12174431557492582
1986,1.2222222222222223,14.238095238095237,East_Antarctica,275,2.588221471253332,-1.347826086956502,-0.009627971081263453
1987,1.8571428571428572,13.736842105263158,East_Antarctica,253,2.425370783406938,-23.347826086956502,-0.17247865892765724
1988,1.8695652173913044,4.125,East_Antarctica,279,2.6190891068270354,2.652173913043498,0.02123966449244019
1989,2.272727272727273,63.11940298507463,East_Antarctica,275,2.119658733476902,-1.347826086956502,-0.4781907088576931
1990,1.75,3,East_Antarctica,275,2.7931502141860665,-1.347826086956502,0.1953007718514712
1991,3,25.65,East_Antarctica,275,2.4840713978197044,-1.347826086956502,-0.11377804451489082
1992,2.142857142857143,11.324324324324325,East_Antarctica,276,2.3948290835867407,-0.34782608695650197,-0.2030203587478545
1993,2.5,3.1666666666666665,East_Antarctica,275,2.9557374774088085,-1.347826086956502,0.3578880350742133
1994,2.176470588235294,10.3,East_Antarctica,275,2.5992347953236714,-1.347826086956502,0.0013853529890761607
1995,2.3076923076923075,8.25925925925926,East_Antarctica,275,2.329085151975573,-1.347826086956502,-0.26876429035902216
1996,2.2222222222222223,NA,East_Antarctica,276,2.6191902283347095,-0.34782608695650197,0.021340786000114242
1997,2,7.421052631578948,East_Antarctica,275,2.565796946872277,-1.347826086956502,-0.03205249546231803
1998,1.4705882352941178,4.833333333333333,East_Antarctica,275,2.767208454600448,-1.347826086956502,0.16935901226585282
