time,Sea Ice Extent (million km²)
2014-09-23,34382899.71
2014-09-24,34446136.44
2014-09-25,34413718.19
2014-09-26,34504358.0
2014-09-27,34485379.8
2014-09-28,34464362.77
2014-09-29,34431823.39
2014-09-30,34349480.93
2014-10-01,34325755.32
2014-10-02,34327496.66
2014-10-03,34349552.02
2014-10-04,34355919.99
2014-10-05,34347205.05
2014-10-06,34247065.4
2014-10-07,34143349.44
2014-10-08,33994395.75
2014-10-09,33966443.28
2014-10-10,33933779.23
2014-10-11,33865432.39
2014-10-12,33880264.59
2014-10-13,33931512.96
2014-10-14,33818085.12
2014-10-15,33774903.68
2014-10-16,33698449.51
2014-10-17,33685764.91
2014-10-18,33579742.63
2014-10-19,33494156.01
2014-10-20,33455332.0
2014-10-21,33410778.9
2014-10-22,33350498.49
2014-10-23,33225510.62
2014-10-24,33157927.11
2014-10-25,33149960.39
2014-10-26,33089307.25
2014-10-27,32998325.72
2014-10-28,32949488.25
2014-10-29,32974677.22
2014-10-30,32992946.09
2014-10-31,32982046.42
2014-11-01,32926626.89
2014-11-02,32873428.94
2014-11-03,32833571.24
2014-11-04,32747305.53
2014-11-05,32693059.76
2014-11-06,32698358.43
2014-11-07,32520290.75
2014-11-08,32374596.8
2014-11-09,32194226.44
2014-11-10,32064443.72
2014-11-11,32050939.44
2014-11-12,32011806.3
2014-11-13,31879694.24
2014-11-14,31765040.1
2014-11-15,31676720.53
2014-11-16,31607578.26
2014-11-17,31464733.3
2014-11-18,31357691.18
2014-11-19,31190497.35
2014-11-20,31081700.52
2014-11-21,30947153.85
2014-11-22,30803459.47
2014-11-23,30609483.29
2014-11-24,30529159.72
2014-11-25,30360035.81
2014-11-26,30262063.59
2014-11-27,30195251.88
2014-11-28,30084801.43
2014-11-29,29948632.76
2014-11-30,29875919.57
2014-12-01,29772517.01
2014-12-02,29607575.32
2014-12-03,29440931.33
2014-12-04,29279340.49
2014-12-05,29133280.45
2014-12-06,28966992.32
2014-12-07,28737725.43
2014-12-08,28691468.37
2014-12-09,28517229.59
2014-12-10,28421507.28
2014-12-11,28300243.44
2014-12-12,28129255.8
2014-12-13,28029809.64
2014-12-14,27935203.14
2014-12-15,27736332.04
2014-12-16,27604865.68
2014-12-17,27378002.24
2014-12-18,27255593.73
2014-12-19,27077546.91
2014-12-20,26974400.5
2014-12-21,26823243.96
2014-12-22,26613332.19
2014-12-23,26379612.32
2014-12-24,26268105.63
2014-12-25,25927744.1
2014-12-26,25784407.54
2014-12-27,25592085.85
2014-12-28,25388799.35
2014-12-29,25099889.58
2014-12-30,24908703.99
2014-12-31,24817393.91
2015-01-01,24590567.14
2015-01-02,24429375.87
2015-01-03,24365037.63
2015-01-04,24244425.86
2015-01-05,24054858.57
2015-01-06,23982000.85
2015-01-07,23822001.62
2015-01-08,23742810.31
2015-01-09,23674316.34
2015-01-10,23477812.83
2015-01-11,23320567.66
2015-01-12,23161876.63
2015-01-13,23046209.07
2015-01-14,22942328.47
2015-01-15,22804153.4
2015-01-16,22630348.38
2015-01-17,22524642.29
2015-01-18,22289917.07
2015-01-19,22109311.17
2015-01-20,21954953.04
2015-01-21,21857548.71
2015-01-22,21748770.2
2015-01-23,21597929.13
2015-01-24,21385000.16
2015-01-25,21231808.78
2015-01-26,20905866.23
2015-01-27,20592216.74
2015-01-28,20461222.33
2015-01-29,20144723.2
2015-01-30,19902722.82
2015-01-31,19886081.32
2015-02-01,19622943.39
2015-02-02,19558558.1
2015-02-03,19484503.43
