time,SIE_circumpolar,SIE_Weddell,SIE_Amundsen_Bellingshausen,SIE_Ross,SIE_East_Antarctica,SIE_King_Haakon
2022-02-27,2.310267807026954,0.27958466057856923,1.1596700142611116,0.13921955671274577,0.5054882986001875,0.22630527687433924
2022-02-28,2.348909050225874,0.2883888857752217,1.1553409935419217,0.15181035932488546,0.5134400908892113,0.23992872069463372
2022-03-01,2.386819923057556,0.27709384164097806,1.1603252380293867,0.17049205930533304,0.5006957492494404,0.27821303483241766
2022-03-02,2.38933927604861,0.26582963248135494,1.1645461975128724,0.17725151368686243,0.4997505361555547,0.28196139621196514
2022-03-03,2.4975526991026924,0.26899612594774736,1.203671801276225,0.21751212629372646,0.508890290101714,0.29848235548327934
2022-03-04,2.568603146880639,0.2696352874724816,1.2402955438237486,0.20992471616374794,0.5455017887545572,0.30324581066610323
2022-03-05,2.589758165653844,0.26714215257899154,1.2621365527317527,0.18758187227254824,0.5861666142039956,0.2867309738665557
2022-03-06,2.620360655364591,0.26211248451035835,1.2859184350820525,0.1628847528567671,0.6038461801312713,0.30559880278414236
2022-03-07,2.636781200251069,0.2583641350382345,1.3078687455490372,0.1546813625932144,0.5938152717443655,0.3220516853262174
2022-03-08,2.6822308973636293,0.2471067648688293,1.3247876776872398,0.17179975427919747,0.6150880429826747,0.3234486575456874
2022-03-09,2.7142782982441727,0.23271010442756623,1.3387111726469514,0.17237990090699706,0.6442691873817585,0.3262079328808999
2022-03-10,2.7283308867305687,0.22514936825620468,1.3376462581677901,0.17112905293254355,0.642400556308066,0.3520056510659642
2022-03-11,2.764725039665155,0.22014456283124928,1.3370154222981743,0.1682477882325678,0.6751356837489222,0.3641815825542417
2022-03-12,2.8040356563338746,0.21889475443483258,1.3498226707805525,0.15778303519759485,0.7121145556478838,0.36542064027301124
2022-03-13,2.863836042908405,0.21827601886081419,1.359773721511011,0.19239901414704697,0.7175390820072189,0.3758482063823138
2022-03-14,2.938608744167688,0.22393907955968245,1.3696383240977656,0.20646447252347114,0.7200849995796453,0.4184818684071232
2022-03-15,3.0523480302486754,0.2415883132790012,1.3872863160480413,0.2248266906581607,0.7335791643602625,0.46506754590320953
2022-03-16,3.13232594684317,0.23718966335350103,1.4205687423164552,0.23162404045798646,0.7443947346022721,0.498548766112955
2022-03-17,3.1985939194462265,0.23216225180936198,1.464984356780331,0.2436091330902862,0.7491019469475304,0.5087362308187174
2022-03-18,3.305265273721204,0.22084059639750836,1.500850336052772,0.26239968869001284,0.7709620017173868,0.5502126508635241
2022-03-19,3.377528022193498,0.22272383297235238,1.5221144906380022,0.26861279882130246,0.7734293459681466,0.5906475537936943
2022-03-20,3.4349323750943563,0.22399110721950447,1.5261252731850858,0.28666907389007246,0.7922807951542487,0.6058661256454448
2022-03-21,3.4644290516490077,0.23154414989291133,1.5065282860333948,0.2887751641618894,0.7818421891396399,0.6557392624211719
2022-03-22,3.520593667467539,0.2561445534213913,1.4991018483772995,0.3105732937734304,0.7642023917063041,0.6905715801891134
2022-03-23,3.629817883101467,0.25364318177410966,1.512052549655577,0.3112111712842417,0.7440459193233842,0.8088650610641548
2022-03-24,3.760451873321727,0.24422119043477636,1.5129214274092275,0.3087073018716379,0.7635208416975845,0.9310811119085007
2022-03-25,3.8904499787142184,0.2605998856214908,1.5253823236203545,0.299899089156668,0.7847903257287668,1.0197783545869379
2022-03-26,3.9884892147088316,0.26681187577694104,1.5089095167535858,0.3141691336921765,0.8102313753038276,1.0883673131823008
2022-03-27,4.1205795070484665,0.27996354017052616,1.5125523753171373,0.34018502995205224,0.8380872258406467,1.1497913357681047
2022-03-28,4.24947866265287,0.29466490081846486,1.513825980578338,0.3839644854007165,0.8676289718698317,1.189394323985519
2022-03-29,4.351505140102013,0.27395532979740245,1.5324049102897168,0.3851952367212013,0.8850926759012219,1.27485698739247
2022-03-30,4.453714856893649,0.2695328749619324,1.5519530168697433,0.3621138487805528,0.921306488937211,1.3488086273442093
2022-03-31,4.577539268576824,0.24241870756132333,1.5680755686584453,0.36025741941217365,0.9520787078958366,1.454708865049044
2022-04-01,4.751413073855214,0.24485764967721774,1.576415629682808,0.3508726881463129,0.9956191306518959,1.5836479756969797
2022-04-02,4.860122744404007,0.24173451822510617,1.6182603608157229,0.3288115550918888,1.0076973329278247,1.6636189773434644
2022-04-03,4.923027597385527,0.24864287261113727,1.6449047041198284,0.33839536224308686,1.0210605826379864,1.6700240757734892
2022-04-04,4.958463737125909,0.28515202827311953,1.6524188457049394,0.3693609327825582,1.0223818619376615,1.62915006842763
2022-04-05,5.022075617441606,0.3190890041020594,1.6618725850810665,0.38906292144563837,1.0241487042505082,1.6279024025623345
2022-04-06,5.178431142326823,0.316600525658462,1.6954901894562016,0.4149227305055307,1.0372885533339635,1.7141291433726653
2022-04-07,5.255589035929766,0.30919941110541355,1.7211582911671435,0.4426744724558144,1.0468744956492757,1.7356823655521194
2022-04-08,5.355807011848668,0.28909704918347245,1.7535600658604962,0.4641728573776639,1.070482196449179,1.7784948429778573
2022-04-09,5.476400082992656,0.2614163584278735,1.8059037312826058,0.5045552232709767,1.0742228229774566,1.8303019470337438
2022-04-10,5.5811338514893345,0.24067602679302302,1.8385453682284323,0.5315174103968641,1.086911517390806,1.8834835286802092
2022-04-11,5.7141940640777875,0.26586916076247974,1.8575440203311122,0.5196556970456885,1.11648651915904,1.9546386667794666
2022-04-12,5.8595442721046735,0.30161501065402035,1.8848788037757733,0.5381034403912378,1.1573108980824283,1.9776361192012128
2022-04-13,5.9818464472054655,0.3525254245217452,1.8760843591144878,0.5838226417350942,1.1819811254150654,1.9874328964190735
2022-04-14,6.125204134520811,0.37946195295099916,1.881689190907033,0.626514378576735,1.20422928061835,2.0333093314676933
2022-04-15,6.242640123776345,0.4088847894332604,1.9070934766105858,0.6327869637211305,1.2191480570837279,2.074726836927641
2022-04-16,6.3190171911338915,0.40890484895619716,1.9406397362213457,0.6511497659530547,1.2137285492257286,2.1045942907775657
2022-04-17,6.409571890037712,0.38954337055553656,1.9740108193311363,0.6814216581815802,1.2208762746208344,2.1437197673486237
2022-04-18,6.53998240537376,0.3644750854538951,2.036263102556145,0.7204237622841209,1.230391764663099,2.1884286904165
2022-04-19,6.660739172846496,0.34941373095211015,2.0925920193198646,0.73996505287887,1.2345612801910781,2.2442070895045725
2022-04-20,6.7653073748115,0.32996263253706537,2.134089669664579,0.7386178605923722,1.2634241644169772,2.299213047600506
2022-04-21,6.8601377490020585,0.32362803656297545,2.150177206691086,0.742260780159116,1.2936040811816882,2.3504676444071935
2022-04-22,7.000835423560095,0.3474187936823473,2.158479410596679,0.7788806201483413,1.3339959253063873,2.382060673826341
2022-04-23,7.15539926489065,0.3919293238806899,2.175354110299333,0.8084157409534836,1.3695546061520474,2.4101454836050964
2022-04-24,7.317601970914539,0.42325271472250214,2.2132889584342155,0.8506329646218972,1.424333995249607,2.4060933378863165
2022-04-25,7.411332913184696,0.43759607441921144,2.217272257367031,0.8850059299347783,1.4549210222628677,2.416537629200806
2022-04-26,7.5441240761076465,0.44695372559331586,2.2099201163006748,0.9433059533778206,1.4548776331164686,2.489066647719367
2022-04-27,7.643477124940112,0.45442216421526727,2.2227830459514744,1.0031355584622443,1.4626795579739613,2.500456798337165
2022-04-28,7.765274320044392,0.45505976881272686,2.245162403858051,1.0303916159648576,1.4554086845575396,2.579251846851217
2022-04-29,7.830656528939393,0.4406857139953889,2.272655799322757,1.044881455161625,1.4498754235026168,2.6225581369570055
2022-04-30,7.941017406349113,0.42506544114187517,2.3274254947031463,1.0551241053323672,1.485820408059472,2.6475819571122523
2022-05-01,8.026614252467532,0.3819503230454337,2.3790948766070956,1.0445405468188067,1.528326685601536,2.692701820394659
2022-05-02,8.12576693497085,0.3663210176852679,2.426346457495346,1.0422428413073106,1.55402558469065,2.7368310337922748
2022-05-03,8.217484294237174,0.3750977513517618,2.4619460935078568,1.0458922213202082,1.5768293227445342,2.757718905312813
2022-05-04,8.40210718444608,0.4276747213235343,2.4772311852102047,1.0798532854137175,1.5934018494070963,2.8239461430915282
2022-05-05,8.542777048812413,0.47259022983706,2.491552020491488,1.12693967188573,1.6005307722533368,2.8511643543447973
2022-05-06,8.676889614176302,0.49379903472007314,2.5135636038030587,1.1587921930052278,1.6138406906764198,2.8968940919715225
2022-05-07,8.801705428844432,0.5013305911233932,2.5404219556377345,1.2038073804504947,1.623576359035117,2.9325691425976923
2022-05-08,8.928678384347231,0.49199458491858694,2.592830993087109,1.2207766551490131,1.6480960858089402,2.9749800653835807
2022-05-09,9.056917570426503,0.4714092530786966,2.642451904850962,1.2478117553474184,1.6729595975927891,3.022285059556637
2022-05-10,9.098461035290034,0.42519184628089335,2.665083696078982,1.2602938385352556,1.6667390741722372,3.081152580222666
2022-05-11,9.173945761514043,0.3882928696804129,2.6908456668677276,1.3002946725490638,1.6725304358085347,3.1219821166083035
2022-05-12,9.344475164872073,0.38012653114334105,2.7110797708578764,1.3421539409667917,1.7248471901015194,3.1862677318025434
2022-05-13,9.469322685159288,0.35939339632872014,2.7566399542973277,1.3591429455269535,1.724859380174858,3.2692870088314283
2022-05-14,9.560160817156394,0.3386314992117138,2.777160208357639,1.4182269384692958,1.7051498116843093,3.3209923594334367
2022-05-15,9.717128936375852,0.3479572842925788,2.7837717185430746,1.49664100060646,1.716494584769988,3.3722643481637506
2022-05-16,9.826317729915464,0.36052105987284844,2.788648454392008,1.5260920112404368,1.743298521458745,3.407757682951424
